rating,content,userName,at,reviewCreatedVersion
1,"Не интерфейс, а мусорная свалка. Ничего не понятно из за рекламы. При поиске если выйти назад запрос слетает.",Слава Бодров,2026-06-19 16:21:01,2026.06.2 #151.1gpr
5,Надеюсь когда-нибудь добавят возможность ставить рейтинг на треки и оставлять комментарии к ним. Было бы очень интересно,Евгений Руденко,2026-06-19 16:16:27,2026.06.2 #151.1gpr
1,не работает с ВПН,Alexandr Vl,2026-06-19 16:10:09,2026.06.1 #150gpr
3,"Отличный сервис, пользуюсь уже несколько лет. Всё было прекрасно до последнего обновления. Вообще не нравится дизайн, невозможность настроить волну по нескольким критериям, изменение положения кнопок. Пауза была расположена справа снижу, аккуратно под большим пальцем. Я готова была мириться с удалением треков и выбрасыванием из них слов, понимаю, что это не сильно от сервиса зависит. Но саморучно так испортить то, что годами выбиралось подписчиками... Верните, пожалуйста, всё как было🥲",Мария Игорцева,2026-06-19 16:04:47,2026.06.2 #151.1gpr
1,"ужасное обновление! интерфейс отвратительный! ничего непонятно. кто у вас вообще до этого додумался?! явно человек, не позльзующийся этим приложением.",Виктория Якушина,2026-06-19 15:46:25,2026.06.2 #151.1gpr
1,"Сделайте старый интерфейс и настройки. Обновление всё испортило, моя волна теперь шляпа полная",Renat K.,2026-06-19 15:45:34,2026.06.2 #151.1gpr
2,"Новое обновление сильно лагает, многие мои любимые треки поудаляли.",pablo pablovich,2026-06-19 15:44:40,2026.06.1 #150gpr
1,"выиграл промокод в додо пицце на 45 дней. подписка закончилась, ввожу промокод и просит оплатить 500 рублей. промокод не принимает",Данил Теплоухов,2026-06-19 15:38:59,2026.06.2 #151.1gpr
1,"Раньше: понятные настройки (русское/иностранное). Сейчас: набор абстракций. Вместо управления звуком играешь в лотерею. Качество подборок упало катастрофически. Моя волна была киллер-фича-, а теперь — непонятный конструктор. Яндекс, верни старую версию Представьте, что в Яндекс-навигаторе вместо указания улиц вам предложат: хочу на море/туннели туннели/по горам по холмам/ только зеленый. примерно такое сделали с моей волной.",Dmitry Medvedev,2026-06-19 15:36:10,2026.05.4 #149.1gpr
1,Я не смог зайти в приложение т.к у меня не отправляется код,Юрий Керов,2026-06-19 15:30:41,
1,"Испортили вкладку книги полностью, интерфейс стал абсолютно неудобным, что на телефоне, что на ПК, зачем трогали? Непонятно. Теперь постоянно сбрасывается прогресс прослушивания, и глава начинается заново. Из-за того, что плеер у музыки и у книг теперь один, приходится постоянно менять порядок воспроизведения, потому что книгу вразброс слушать не очень. Раньше, чтобы переключиться с книги на музыку и наоборот, требовалось в два раза меньше кликов, вот вам и новый интерфейс.",Feddas YT,2026-06-19 15:05:14,2026.06.2 #151.1gpr
1,"частота звука ухудшилась после установки приложения, звук трещит.",Александр Лотоцкий,2026-06-19 14:53:43,2026.06.2 #151.1gpr
4,"приложение хорошее, но в новом обнавлении раскладка стала очень не удобной",Мария Хохлова,2026-06-19 14:48:49,2026.05.4 #149.1gpr
1,после обновления стало совершенно невозможно пользоваться!,Антон Семенов,2026-06-19 14:47:44,2026.06.2 #151.1gpr
4,проблему с синхронизацией починили! спасибо! Но новый интерфейс отнял перемотку трека на строке хронометража - стало неудобно (,Никита,2026-06-19 14:35:13,2026.06.2 #151.1gpr
5,самое лучшее приложение,Елена Федосеенко,2026-06-19 14:34:11,2026.04.1 #141.1gpr
4,"Это действительно пожалуй лучшее отечественное приложение для музыки. И удобно что оно входит в общую подписку. Однако меня раздражают постоянные обновления. Зачем чинить то что не сломано? Зачем менять вид и расположение функций,(например теперь история прослушивания в отдельной ечейке)если и до этого оно было приемлемо?Ещё постоянное пропихивание ИИ честно говоря раздражает.Чисто имхо Не буду говорить про постоянные войны с авторскими правами на песни, хоть это и раздражает. Всë равно спасибо",eva aldanova,2026-06-19 14:28:38,2026.06.2 #151.1gpr
1,"0 разнообразия ещё и списывают деньги за какие-то функции не понятные , не поймёшь где и как отключить их , а поддержка обсолютно нерабочая, одни боты , которые не справляются.",даниил ковалев,2026-06-19 14:28:31,2026.06.2 #151.1gpr
3,"Новый дизайн - это просто сон собаки, нужна инструкция чтобы понять куда нажать...",Dmitriy K,2026-06-19 14:13:29,
5,зачётные треки сказания,Александр Лямытских,2026-06-19 14:00:35,2026.06.2 #151.1gpr
4,"Привет. Добавьте пожалуйста возможность фидьтровать и блокировать ИИ треки. Они как чума, достали уже. Спасибо.",Алексей Воронцов,2026-06-19 13:50:55,2026.06.1 #150gpr
3,"до этого ставил 5 звезд, но последнее обновление это просто красочный и неудобный ужас.",Teimur Jafarov,2026-06-19 13:36:21,2025.09.3-wear #115gpr
2,"После обновления интерфейса использование превратилось в пытку( разделы теперь интуитивно НЕ понятны. При запуске приложения периодически стала запускаться музыка сама. Если это фича, то она ужасно убогая, надеюсь ее автора так же везде лишают возможности выбора..",Rina Khayrulina,2026-06-19 13:28:12,2026.06.2 #151.1gpr
4,Музыка совсем однотипная,Катерина Великая,2026-06-19 13:14:14,2026.06.2 #151.1gpr
1,Сделайте возможность вернуть старый интерфейс.,Сергей Магалаев,2026-06-19 12:56:44,2026.05.3 #148.1gpr
5,Купив подписку всё стало идеально 👌,Elaman Sarybaev,2026-06-19 12:43:08,2026.05.4 #149.1gpr
1,"Добрый день.До сегодняшнего дня,не утра-работало всё хорошо. А днём исчез б/п,зато платный появился. Что случилось? Куда дели б/п?",Венера Кадырова,2026-06-19 12:30:21,2026.06.2 #151.1gpr
1,выбивает иэ приложения,Your Friend,2026-06-19 12:25:17,2026.06.1 #150gpr
2,"приложение хорошее, НО: С каждым новым обновлённым интерфейсом, пользоваться становится всё хуже хуже. навигация по приложению на уровне экстрасенса. стоит нажать ""назад"" что бы выйти в прошлое меню, так выбрасывает в самое начало. непонятно как складывается алгоритм подбора песен? выбираю Рок, он мне ганвеста, баскова и группу Краски туда пихает. дизлайкаю постоянно, что бы не появлялись. а они снова лезут..у меня все знакомые плюются после ваших обнов. жена уже удалила. подписку отключаю",Антон Ермаков,2026-06-19 12:18:50,2026.06.2 #151.1gpr
1,в связи с законодательством рф и цензурированием непосредственно контента приложения (музыки) я вынужден отменить подписку на данный сервис и полностью удалить ваше приложение.,Andrei N. (MELIODAS_69),2026-06-19 12:06:00,2026.06.1 #150gpr
4,"Сделайте пожалуйста кнопку ""Без ИИ""! И кнопки в нижней панели более понятные. И кнопку распознования музыки на виджет вернуть.",Ольга Михайлина,2026-06-19 11:54:42,2026.06.2 #151.1gpr
4,музыка супер,Настя,2026-06-19 11:05:09,2026.06.1 #150gpr
1,последнее обновление дизайна интерфейса отвратительное и неудобное,TheMariiya,2026-06-19 11:00:00,2026.06.1 #150gpr
1,"сделали максимально уродскую оболочку для новой версии и замедлили старую, что невозможно слушать, спасибо большое, очень приятно. А Алису в приложение добавить до сих пор не додумались",Ирина Шмидт,2026-06-19 10:48:18,2023.11.5 #22.3gpr
4,"Когда из России ушёл Spotify, я полностью перешёл на яндекс музыку, а в последующем и полностью в экосистему яндекса, всё нравится, только вот одно меня не устраивает: слушаю музыку на яндекс станции, в машине на планшете андроид, в телевизоре, всё синхронизируется со смартфоном, всё шикарно, но вот с ПК-приложением такого нет, почему до сих пор не сделают это я не понимаю. поставлю 4 звезды, когда сделают то поставлю 5.",SASHOK,2026-06-19 10:47:50,2026.06.2 #151.1gpr
1,С каждым обновлением - это лучшая реклама YT Music и Spotify!,Пользователь Google,2026-06-19 10:31:53,2026.06.2 #151.1gpr
3,"норм, но не хватает переключателя на запрет ИИ исполнителей и песен и т.д.",lina Li,2026-06-19 10:26:03,2026.06.1 #150gpr
4,"решил поставить отзыв в связи с недавнем обновлением главного меню 1) кнопка настроить мою волну решили унести самый низ проматываемогл круга, что бесит хоть понимаю для чего это сделано 2) где светлая тема главного меню? возможный компромис 1): добавить возможность сохранять свои пресеты моей волны самостоятельно и выбирать",Даниил Колтышев,2026-06-19 10:03:54,2026.06.2 #151.1gpr
5,Пока всё замечательно.,Александр Комкин,2026-06-19 09:21:16,2026.06.2 #151.1gpr
1,Ужасное изменение волны,Violett Rose,2026-06-19 08:45:25,2026.06.2 #151.1gpr
2,"слушал аудиокнигу, после очередной главы включилась не следующая глава, а приложение просто решило мне музыку включить. Разрабы, почему так?",Денис Брагин,2026-06-19 08:44:08,2026.06.2 #151.1gpr
5,"удобно, нет ничего лишнего и практично!",Мел Обыкновенный,2026-06-19 07:51:58,2026.05.4 #149.1gpr
4,"Моя волна работает отлично, открыла для себя много хорошей музыки, единственный существенный минус- почему-то из «Мне нравится» песни сами собой пропадают, не очень удобно потом вспоминать и искать то, что слушалось недели назад или каждую песню в плейлист перетаскивать",Эля Байгузина,2026-06-19 07:50:49,2026.06.1 #150gpr
5,"в целом люблю это приложение, да, есть проблемы с волной порой, исполнителями и поиском, но есть и плюсы-моя волна подарила мне много новых любимых треков и исполнителей(отдельное спасибо за то что вернули дизайн горизонтального плеера на планшетах!) и обновленный дизайн неплох, однако не пойму к чему эти фигуры на жанрах волны, так ещё и с блюром в углу, либо блюр убрать либо сами фигуры и оставить текст более крупно было бы лучше и приятней глазу, а так как идея интересная, доработать бы чуть",Алина Талипова,2026-06-19 07:39:56,2026.06.2 #151.1gpr
1,очень неудобно стало слушать музыку тк тебе в моей волне подаются одни и те же песни самые песни либо треки которые ты уже слушал или треки из твоего плей листа,Дима,2026-06-19 07:05:16,2026.06.1 #150gpr
2,"В принципе, приложение неплохое. Хороший выбор музыки, хорошее качество. Но есть минусы. После обновления стал крайне неудобным интерфейс (жалоб и от других людей слышал много). Ещё оно постоянно запускается само, несмотря на то, что из него выходишь (закрываешь его), надоело. Исправляйте! А пока только такую оценку заслужили (возможно понижу и до одной звезды).",Михаил м,2026-06-19 06:03:39,2026.06.2 #151.1gpr
1,верните старые рекомендации . обновили и теперь помойка с круглчшками. сделайте возможность выбрать старое оформление рекомендаций. по типу в дороге. русское и тд !,Молодой Пенсионер (TomiManLife),2026-06-19 05:42:17,
4,"короче, все круто но что прям необходимо 1 создавать совместный плейлист 2 возможность выбирать несколько треков чтобы засунуть в плей лист, а не по одному тыкать 3 добавить функции с компьютерной версии сайта в основное приложение 4 будет еще круто самому тэг давать песне",Valeria Duralenko,2026-06-19 05:35:46,2026.06.2 #151.1gpr
4,"В целом приложение хорошее. Но на данный момент на платформе присутствуют треки, явно созданные с помощью ии, это никак не маркируется. Меня огорчает тот факт, что меня не предупреждают о том, что я слушаю и никак не ограничивается подобная деятельность. Как слушатель, я не хочу слушать музыку, которая не создана человеком и поддерживать прослушиваниями таких артистов",Кристина Чуйко,2026-06-19 05:33:25,2026.05.4 #149.1gpr
3,"Приложение классное, но по какой то причине в последнее время появляется очень много треков которые я не скачивал, у меня стоит авто скачивание понравившихся, возможно это из-за этого, не знаю что делать, удалять вручную очень долго из-за того что треки удаляются с ОЧЕНЬ БОЛЬШОЙ задержкой. А ещё к сожалению приходится платить, грустно.",Эдем Кемалов,2026-06-19 05:31:03,2026.06.2 #151.1gpr
3,"Новый интерфейс ужасный. Раньше было удобно, теперь хрен настроишь эту мою волну. Очень неудобно",Татьяна Кочеткова,2026-06-19 05:30:02,2026.06.2 #151.1gpr
1,"Удаляю. Оборзели совсем! 500 рублей в месяц за музыку. Мне кроме музыки ни чего не надо, смысл столько платить?",Андрей Штепа,2026-06-19 05:02:30,
5,"Команда Яндекс Музыки, я люблю Вас, спасибо за новый апдейт для планшетов с выводом текста в горизонталке. Обнял, приподнял, поцеловал в лобик каждого",Хаусмемес Official channel,2026-06-19 04:31:19,2026.06.2 #151.1gpr
1,"Честно ещё не пробовала. Потому что код для входа не приходит, собственно и аккаунта у меня нет именно по этой причине. Очень хотела попробовать это приложение но, увы.",Екатерина Б.,2026-06-19 04:16:51,2026.06.2 #151.1gpr
4,"приложение нравится, пользуюсь им каждый день, но почему убрали таймер, мне удобно было на ночь ставить музыку для сна на таймер",Светик Светик,2026-06-19 04:15:54,2026.06.2 #151.1gpr
5,приложение перестало открываться после обновления,Tbpps,2026-06-19 04:03:06,2026.06.1-wear #150gpr
1,"Сервисы яндекса стали дорогими, поисковик с ВПН теперь не открывает. Товары в маркете дорогие. Бессмысленно стало пользоваться.",Николай Игушев,2026-06-19 03:58:46,2025.10.5 #121gpr
1,"я смотрю уже не один такой, судя по отзывам.. когда пытаешься включить приложение чтобы музыку послушать моя волна и она закрывается, и уже в моменте пытаешься ткнуть на сохраненные и если повезёт они будут проигрываться.. но за рулём отвлекаться на это, так себе занятие.. до этого обновления всё работало стабильно и говорить что это приложение может не работать на андроид магнитоле это бред!!!!",Сергей ПМЗ,2026-06-19 03:51:28,2026.06.2 #151.1gpr
2,"Пользуюсь давно, но с последним обновлением это стало очень сложно. Пару песен пролистнула, наткнулась на ту, которую хочется прослушать и яндекс тут же ""перемешивать волну"" без моего ведома, от чего песня теряется, а она может мне понравилась. Вкладка понравившиеся часто тупо не загружается или загружается очень и очень долго.",Felisk Allen,2026-06-19 03:44:27,2026.06.2 #151.1gpr
1,"Отвратительный и непонятный интерфейс с уродливым дизайном.Это можно было бы потерпеть, если бы не другие проблемы.Постоянно вылезают раздражающие всплывающие окна, обычно с рекламой подписки,при том,что она у меня и так есть.После обновления наконец-то заработала моя волна, которая стала включать разные песни,а не одно и те же 20 штук.Но при этом вылез другой баг.Всё песни, не загруженные в кеш, стали длиной 30 секунд.Гугл сказал, что так бывает без подписки, вот только она у меня есть.",Иван Б,2026-06-19 03:29:01,2026.06.2 #151.1gpr
1,"половина песен зацензурена, половина удалена. за что платим — вопрос",Anika Li,2026-06-19 03:22:06,2025.12.3 #128.1gpr
1,"Идеальная иллюстрация дерьмофикации. Если в 22 году ЯМа могла посоревноваться даже с Spotify, то теперь через 4 года я возвращаюсь на Спотик. ЯМа стала абсолютной мерзостью, от UX, до работы базовых функций. Плейлист в 4к треков ЯМ не способна загрузить быстрее чем за 5 секунд, сижу смотрю на черный экран. Заходишь в ЯМ, первое что видишь - баннер, который надо убрать, чтобы ты мог послушать музыку блин. Мне плевать, что это вина не яндекса, песен нет - это факт. Нет и причин оставаться на ЯМе.",DerVito,2026-06-19 03:21:26,2026.06.2 #151.1gpr
5,мне очень нравится это приложение,Полина Кудашкина,2026-06-19 03:12:43,
1,"ужасное обновление, мало того что с интерфейсом перечудили, так ещё и по кнопке плей музыка иногда запускается только через минуту, хотя Яндекс в белых списках",Евгений Дресвянников,2026-06-19 03:03:47,2026.05.3 #148.1gpr
2,"с обновлением стало виснуть жёстко, куча ненужных блоков и информации",Dmitry Lin,2026-06-19 02:50:45,2026.06.2 #151.1gpr
3,крайне неудобно стало пользоваться моей волной.,Александр Ротатюк,2026-06-19 02:48:33,2026.06.1 #150gpr
1,"Уважаемые разработчики, сделайте чтобы и в альбомом режиме отображались обложки треков в полный размер как раньше",Нияз Сабиров,2026-06-19 02:47:31,2026.06.2 #151.1gpr
5,САМАЯ ЛУЧШАЯ МУЗЫКА,Андрей Ондрин,2026-06-19 02:32:03,2026.06.2 #151.1gpr
5,"давно пользую 300р в месяц ни разу не пожалел) классная штука, работает даже без интернета.",Алан Газаев,2026-06-19 02:22:03,2026.06.2 #151.1gpr
5,Ok,Юра Бочко,2026-06-19 02:21:06,2026.06.2 #151.1gpr
2,"какой уродливый интерфейс, пока настройки найдёшь в закаулках с рекламой, всё гуано выкипит",Xrr,2026-06-19 02:14:40,2026.05.1 #146.1gpr
3,"нейрослопа стало много и как его отключить не ясно.... добавьте функцию ""скрыть нейронные треки""",Александр Цапалин,2026-06-19 02:11:41,2026.06.1 #150gpr
2,"после обновления настал ужас, оформление новое страшное, всё время глючит, песни не хотят грузится и нормально проигрываться, за что деньги платятся?",Liv Liv206,2026-06-19 01:44:46,
