rating,content,userName,at,reviewCreatedVersion
1,"рекомендую установить спотифай. Из-за отсутствия конкуренции, Яндекс, мягко говоря, обнаглел. А я как пользователь и того и того, могу с уверенностью сказать, что спотифай ничем не хуже, но при этом бесплатный. А яндекс, даже при конце подписки блокирует доступ к сохраненным трекам, не давая возможности по названию найти их в интернете.",Иван Гаврюшев,2026-06-20 15:21:40,
2,Навертели и наворотили. Неудобно пользоваться,Maks Vit,2026-06-20 14:45:36,2026.06.2 #151.1gpr
1,"я им не пользовалась 2 ГОДА! И Я ПЫТАЛАСЬ ОТКЛЮЧИТЬ ПОДПИСКУ, УДАЛИТЬ КАРТУ, УДАЛИТЬ ПРИЛОЖЕНИЕ, ЛАЗИЛА ВЕЗДЕ ЧТО БЫ У МЕНЯ НЕ ПЫТАЛИСЬ СПИСАТЬ 200-499 РУБЛЕЙ, ужасно.!",Маргарита Мосунова,2026-06-20 14:10:23,2026.06.2 #151.1gpr
1,интерфейс стал помойкой,Владимир Петрович,2026-06-20 14:08:21,2026.06.2 #151.1gpr
5,"Изменяю: Проблемы с потреблением ресурсов исправили, теперь ест адекватные 10%. старый отзыв: Жрет 70% ресурсов от snapdragon 8 gen... я то думаю, куда у меня уходит заряд и откуда такой нагрев? а ответ был не за горами - яндекс музыка. 2 звезды чисто из хороших рекомендаций от моей волны.",lininu,2026-06-20 13:57:28,2026.06.2 #151.1gpr
5,"афигенное приложение. в нес есть мои любимые музыканты, но хотелось чтобы добавили новых песен Ari Abdul.",Алина Горб,2026-06-20 13:50:42,2026.04.3 #143gpr
1,после нового обновления не возможно выбрать категорию для себя меню стало отвратительно верните все блин обратно,Таня Шишмарева,2026-06-20 13:45:22,2026.06.2 #151.1gpr
1,"Ребята без обид, но этим пользоваться почти невозможно",Sergey Ilyushkin,2026-06-20 13:45:09,2026.06.2 #151.1gpr
2,"Новым дизайном испортили приложение, а ещё теперь уходит в оффлайн режим хотя соединение с интернетом стабильное.",Alex V.,2026-06-20 13:44:54,2026.06.2 #151.1gpr
2,"Теперь чтобы настроить мою волну, нужно продираться через тормозящую карусель. Чтобы ПЕРЕнастроить мою волну, нужно дважды продираться через тормозящую карусель. Как отключить карусель?",Sar Get,2026-06-20 13:23:11,2026.06.2 #151.1gpr
2,"Слишком кардинальные изменения в новом дизайне. 1. Сделайте кнопки ""встряхнуть волну"" и ""настроить волну"" отдельно от колеса, чтобы они постоянно были на виду. 2. Почему не запоминает настройки волны? Через какое-то время при новом запуске приложения они слетают и приходится заново настраивать.",Андрей,2026-06-20 13:08:52,2026.06.2 #151.1gpr
1,"за 500 р/мес вы получаете -дизайн, который делал криворукий слепой школьник -волну с нейро-прости господи-слопом -ваша любимая волна пропадёт и смешается с 10-ю новыми треками, всё остальное, что вы услышите- уже есть в вашем плейлисте -интерфейс, тыкнул на мм мимо? Держи, почитай ии комментарий, что алисочка думает об этом треке.",Alya,2026-06-20 13:00:11,2026.06.1 #150gpr
